CustomerID,Age,Gender,Region
1,65,Female,West
2,36,Female,East
3,65,Female,East
4,40,Male,South
5,54,Female,South
6,65,Female,East
7,52,Female,South
8,65,Female,South
9,29,Female,East
10,57,Male,West
11,32,Male,North
12,49,Male,North
13,43,Female,East
14,53,Male,North
15,36,Male,West
16,35,Female,East
17,61,Female,North
18,29,Female,East
19,60,Female,North
20,57,Female,North
21,18,Female,East
22,19,Male,West
23,31,Male,West
24,59,Female,East
25,48,Female,North
26,49,Female,North
27,37,Female,East
28,53,Female,South
29,18,Male,West
30,58,Male,North
31,29,Male,South
32,27,Female,East
33,28,Male,South
34,44,Female,South
35,48,Male,West
36,64,Male,West
37,59,Female,East
38,54,Female,North
39,29,Female,West
40,38,Male,East
41,19,Female,West
42,63,Female,West
43,55,Male,West
44,61,Female,South
45,37,Female,West
46,40,Female,West
47,41,Male,South
48,58,Male,South
49,35,Male,East
50,38,Female,South
51,18,Female,East
52,51,Female,West
53,27,Female,North
54,36,Female,South
55,30,Male,East
56,29,Male,West
57,36,Male,North
58,36,Male,West
59,30,Female,North
60,55,Female,West
61,32,Male,West
62,50,Male,West
63,50,Male,South
64,47,Female,North
65,32,Female,West
66,25,Male,South
67,28,Male,East
68,55,Male,North
69,46,Female,South
70,45,Male,South
71,34,Male,East
72,22,Male,North
73,54,Male,East
74,63,Female,West
75,23,Female,South
76,49,Male,South
77,28,Male,South
78,55,Female,East
79,41,Male,South
80,56,Male,East
81,49,Male,West
82,48,Male,North
83,39,Male,West
84,27,Female,West
85,35,Male,South
86,21,Female,South
87,27,Male,North
88,50,Female,East
89,27,Male,West
90,21,Female,East
91,21,Male,West
92,55,Male,South
93,43,Female,South
94,33,Female,West
95,32,Female,South
96,59,Male,North
97,44,Female,East
98,63,Male,South
99,32,Male,South
100,38,Male,West
101,22,Male,South
102,43,Female,West
103,31,Male,West
104,28,Male,West
105,37,Female,North
106,20,Male,West
107,47,Female,West
108,27,Male,North
109,19,Female,North
110,56,Female,West
111,36,Female,North
112,62,Male,North
113,24,Female,East
114,43,Male,North
115,46,Male,West
116,43,Male,South
117,27,Male,South
118,39,Male,North
119,48,Male,West
120,51,Male,East
121,39,Male,South
122,33,Female,South
123,27,Female,South
124,63,Female,North
125,21,Female,West
126,23,Female,South
127,55,Female,East
128,33,Male,North
129,49,Male,West
130,36,Female,West
131,25,Female,South
132,47,Female,South
133,26,Female,East
134,65,Male,South
135,18,Male,East
136,44,Male,North
137,18,Female,East
138,44,Female,South
139,44,Female,West
140,45,Female,West
141,50,Female,South
142,62,Female,North
143,58,Male,West
144,46,Male,West
145,24,Male,South
146,44,Male,West
147,63,Male,West
148,62,Female,South
149,24,Male,East
150,29,Female,West
151,64,Female,West
152,35,Female,East
153,43,Male,East
154,23,Male,East
155,54,Male,West
156,43,Female,South
157,43,Female,East
158,30,Female,South
159,44,Male,West
160,24,Female,East
161,46,Male,South
162,61,Female,East
163,56,Male,East
164,40,Male,East
165,57,Female,South
166,33,Female,South
167,44,Female,North
168,50,Female,East
169,24,Female,West
170,29,Female,East
171,37,Female,East
172,60,Female,East
173,29,Male,West
174,19,Male,North
175,27,Male,North
176,32,Male,North
177,21,Female,East
178,35,Male,East
179,43,Female,South
180,54,Male,North
181,51,Female,East
182,22,Male,North
183,42,Male,East
184,40,Male,South
185,47,Female,West
186,41,Female,South
187,31,Male,South
188,51,Female,East
189,60,Male,South
190,30,Female,North
191,58,Male,South
192,36,Female,West
193,27,Female,West
194,51,Female,East
195,33,Male,South
196,49,Female,South
197,29,Female,North
198,59,Female,East
199,55,Female,West
200,18,Male,East
201,26,Female,North
202,46,Male,South
203,46,Female,South
